index,Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
0,2018,11,Capital,Albany,1600,1570000
1,2018,11,Western New York,Allegany,400,300000
2,2018,11,New York City,Bronx,11600,11530000
3,2018,11,Southern Tier,Broome,1400,1150000
4,2018,11,Western New York,Cattaraugus,900,710000
5,2018,11,Central New York,Cayuga,700,550000
6,2018,11,Western New York,Chautauqua,1300,970000
7,2018,11,Southern Tier,Chemung,500,400000
8,2018,11,Southern Tier,Chenango,400,360000
9,2018,11,North Country,Clinton,600,510000
10,2018,11,Capital,Columbia,300,260000
11,2018,11,Central New York,Cortland,500,450000
12,2018,11,Southern Tier,Delaware,300,230000
13,2018,11,Hudson Valley,Dutchess,1200,1310000
14,2018,11,Western New York,Erie,7500,6670000
15,2018,11,North Country,Essex,400,270000
16,2018,11,North Country,Franklin,400,330000
17,2018,11,Mohawk Valley,Fulton,400,400000
18,2018,11,Finger Lakes,Genesee,500,510000
19,2018,11,Capital,Greene,400,330000
20,2018,11,North Country,Hamilton,100,70000
21,2018,11,Mohawk Valley,Herkimer,700,530000
22,2018,11,North Country,Jefferson,1300,1000000
23,2018,11,New York City,Kings,16600,17780000
24,2018,11,North Country,Lewis,300,270000
25,2018,11,Finger Lakes,Livingston,500,430000
26,2018,11,Central New York,Madison,600,480000
27,2018,11,Finger Lakes,Monroe,5400,4780000
28,2018,11,Mohawk Valley,Montgomery,600,530000
29,2018,11,Long Island,Nassau,6700,7650000
30,2018,11,New York City,New York,11200,12630000
31,2018,11,Western New York,Niagara,2400,1880000
32,2018,11,Mohawk Valley,Oneida,1800,1500000
33,2018,11,Central New York,Onondaga,3200,2910000
34,2018,11,Finger Lakes,Ontario,800,690000
35,2018,11,Hudson Valley,Orange,2100,2010000
36,2018,11,Finger Lakes,Orleans,400,290000
37,2018,11,Central New York,Oswego,1300,1200000
38,2018,11,Mohawk Valley,Otsego,400,340000
39,2018,11,Out-of-State Resident,Out-of-State,11800,14840000
40,2018,11,Hudson Valley,Putnam,500,520000
41,2018,11,New York City,Queens,12800,14170000
42,2018,11,Capital,Rensselaer,1000,970000
43,2018,11,New York City,Richmond,2600,2730000
44,2018,11,Hudson Valley,Rockland,1300,1270000
45,2018,11,Capital,Saratoga,1400,1370000
46,2018,11,Capital,Schenectady,1100,1110000
47,2018,11,Mohawk Valley,Schoharie,200,210000
48,2018,11,Southern Tier,Schuyler,200,160000
49,2018,11,Finger Lakes,Seneca,200,190000
50,2018,11,Southern Tier,Steuben,800,660000
51,2018,11,North Country,St. Lawrence,1000,740000
52,2018,11,Long Island,Suffolk,8900,9410000
53,2018,11,Hudson Valley,Sullivan,600,480000
54,2018,11,Southern Tier,Tioga,400,330000
55,2018,11,Southern Tier,Tompkins,400,370000
56,2018,11,Hudson Valley,Ulster,1100,980000
57,2018,11,Unknown Geography,Unknown,100,120000
58,2018,11,Capital,Warren,800,640000
59,2018,11,Capital,Washington,400,380000
60,2018,11,Finger Lakes,Wayne,800,640000
61,2018,11,Hudson Valley,Westchester,4800,5350000
62,2018,11,Finger Lakes,Wyoming,500,360000
63,2018,11,Finger Lakes,Yates,200,130000
64,2018,10,Capital,Albany,1400,1670000
65,2018,10,Western New York,Allegany,200,240000
66,2018,10,New York City,Bronx,11600,13150000
67,2018,10,Southern Tier,Broome,1000,1050000
68,2018,10,Western New York,Cattaraugus,500,500000
69,2018,10,Central New York,Cayuga,400,460000
70,2018,10,Western New York,Chautauqua,800,750000
71,2018,10,Southern Tier,Chemung,400,410000
72,2018,10,Southern Tier,Chenango,300,270000
73,2018,10,North Country,Clinton,400,430000
74,2018,10,Capital,Columbia,200,230000
75,2018,10,Central New York,Cortland,200,240000
76,2018,10,Southern Tier,Delaware,200,190000
77,2018,10,Hudson Valley,Dutchess,1100,1450000
78,2018,10,Western New York,Erie,5800,6200000
79,2018,10,North Country,Essex,200,170000
80,2018,10,North Country,Franklin,300,240000
81,2018,10,Mohawk Valley,Fulton,300,330000
82,2018,10,Finger Lakes,Genesee,400,390000
83,2018,10,Capital,Greene,300,300000
84,2018,10,North Country,Hamilton,100,40000
85,2018,10,Mohawk Valley,Herkimer,400,360000
86,2018,10,North Country,Jefferson,800,700000
87,2018,10,New York City,Kings,17100,20730000
88,2018,10,North Country,Lewis,200,150000
89,2018,10,Finger Lakes,Livingston,400,370000
90,2018,10,Central New York,Madison,300,330000
91,2018,10,Finger Lakes,Monroe,4400,4870000
92,2018,10,Mohawk Valley,Montgomery,400,450000
93,2018,10,Long Island,Nassau,6400,8600000
94,2018,10,New York City,New York,11700,14810000
95,2018,10,Western New York,Niagara,1600,1540000
96,2018,10,Mohawk Valley,Oneida,1200,1320000
97,2018,10,Central New York,Onondaga,2300,2520000
98,2018,10,Finger Lakes,Ontario,500,560000
99,2018,10,Hudson Valley,Orange,1700,2170000
100,2018,10,Finger Lakes,Orleans,200,210000
101,2018,10,Central New York,Oswego,800,870000
102,2018,10,Mohawk Valley,Otsego,200,210000
103,2018,10,Out-of-State Resident,Out-of-State,11300,16210000
104,2018,10,Hudson Valley,Putnam,400,530000
105,2018,10,New York City,Queens,13000,16380000
106,2018,10,Capital,Rensselaer,800,980000
107,2018,10,New York City,Richmond,2600,3300000
108,2018,10,Hudson Valley,Rockland,1100,1390000
109,2018,10,Capital,Saratoga,1100,1400000
110,2018,10,Capital,Schenectady,900,1160000
111,2018,10,Mohawk Valley,Schoharie,100,160000
112,2018,10,Southern Tier,Schuyler,100,100000
